"PlayID","Date","CustomerID","Experience","Pokestops","Gyms","Raids","Social","Pokemons","Distance","Duration"
1,2018-09-01,416,4284,18,10,0,0,19,4.34103064050603,85.848642878357
2,2018-09-01,4988,4919,17,9,1,0,24,0.685292319164589,34.5928356001057
3,2018-09-01,912,3902,16,7,0,0,29,2.5231784033782,15.2451032510995
4,2018-09-01,1712,4059,11,5,2,0,7,1.59390634250474,108.234247230015
5,2018-09-01,4356,3066,17,4,0,0,26,1.16489540893641,15.0484472068873
6,2018-09-01,4738,5096,21,11,0,2,28,0.457888538098165,32.9455881737499
7,2018-09-01,1375,7614,13,9,4,2,13,1.14402845616771,195.472476862095
8,2018-09-01,4714,3699,18,5,0,2,20,3.99060315820041,87.8297216865803
9,2018-09-01,394,3491,12,3,1,4,8,0.906030615135799,128.400491101423
10,2018-09-01,792,5889,17,4,3,2,11,2.88819428237498,42.5428377231296
11,2018-09-01,4714,4021,21,6,0,1,19,6.20903667288273,94.3480514752805
12,2018-09-01,1079,3597,16,5,0,1,28,1.97284717410713,20.4049048710941
13,2018-09-01,2162,5178,11,13,0,5,15,2.7761710581184,74.909301738723
14,2018-09-01,2358,4031,19,6,0,0,35,1.31136121549139,23.6494496762563
15,2018-09-01,4343,2852,12,2,1,1,11,1.02360323556232,102.298836814345
16,2018-09-01,3006,4681,19,9,0,0,17,10.8051237147116,75.0916869329587
17,2018-09-01,4510,2761,17,4,0,0,17,2.60812506022487,44.8492804363154
18,2018-09-01,4321,2306,12,5,0,0,11,1.56198450574126,203.272689777003
19,2018-09-01,600,3669,15,7,0,1,20,3.1944018368286,92.6496452023417
20,2018-09-01,62,6151,15,15,0,1,42,1.01294769107571,25.7524937724445
21,2018-09-01,1947,4780,21,7,0,0,20,13.296523871518,68.9568865120808
22,2018-09-01,4346,7433,11,9,3,5,19,1.32555488176456,99.259823656546
23,2018-09-01,3664,3126,12,6,0,2,17,0.758701774134658,118.962165599521
24,2018-09-01,2374,2456,12,4,0,1,15,1.06364227173905,121.051016053219
25,2018-09-01,3621,3405,21,6,0,0,17,3.05169079505434,69.7818778062989
26,2018-09-01,2358,3607,19,4,0,0,27,5.06721652329143,19.1608189229192
27,2018-09-01,2830,2508,16,3,0,1,12,3.07718259400922,52.7730424013136
28,2018-09-01,1947,5036,22,13,0,0,11,7.86493147865418,61.4790490999598
29,2018-09-01,1682,3464,11,8,0,2,15,1.64064214980035,115.092822669615
30,2018-09-01,2379,5683,15,15,0,0,32,3.327357702541,110.580954826938
31,2018-09-01,1593,3686,21,9,0,0,13,1.85720343794567,18.255137267818
32,2018-09-01,1075,3546,19,4,0,0,20,7.95846737938958,64.32412625436
33,2018-09-01,3812,5980,12,8,2,6,8,1.80322627138319,77.8749600367558
34,2018-09-01,4780,3886,14,8,0,2,16,3.86070040741013,41.8409714729375
35,2018-09-01,4791,2435,14,3,0,1,14,2.34947070614568,41.5685668893028
36,2018-09-01,157,4254,20,10,0,0,19,3.03749183846356,56.6854450345957
37,2018-09-01,830,3740,16,6,0,0,26,4.39693894616573,51.9113685559008
38,2018-09-01,1301,5126,11,8,2,1,11,2.25734050391763,109.425412209786
39,2018-09-01,2517,4040,22,9,0,0,11,5.90228860424654,53.1396981348351
40,2018-09-01,3378,2398,12,5,0,1,7,2.47699005387753,37.6034402127398
41,2018-09-01,1733,5691,13,6,2,5,14,1.41406487186662,76.7807823908397
42,2018-09-01,454,3156,14,5,0,1,23,1.063490873942,153.309515490172
43,2018-09-01,2099,4282,8,5,2,1,11,1.32011452470737,94.0975984729418
44,2018-09-01,712,13774,14,16,9,1,11,1.23536884363285,57.3245478027376
45,2018-09-01,2166,2914,16,4,0,1,20,1.13759589119081,30.3569291359001
46,2018-09-01,158,7221,16,12,2,1,27,4.71260772144968,58.5228741518995
47,2018-09-01,4738,5883,21,16,0,1,25,1.82762123740743,24.3808470639137
48,2018-09-01,3664,4191,13,9,1,1,9,0.913840812163266,101.027560329004
49,2018-09-01,549,4109,16,5,1,1,18,2.09249468562888,43.2768507596702
50,2018-09-01,636,4652,14,4,0,13,9,1.01627672279865,87.4854881825537
51,2018-09-01,504,3445,18,9,0,0,9,2.94895763075173,76.1595123222672
52,2018-09-01,4700,3414,17,5,0,3,13,3.13626897166634,32.5164381742473
53,2018-09-01,4795,5898,12,12,1,4,15,3.47955621533712,152.839987955065
54,2018-09-01,3366,3165,20,7,0,0,14,0.645690499867128,39.6258791900793
55,2018-09-01,420,5941,15,17,1,0,11,2.40606499011079,74.4847862657065
56,2018-09-01,2281,2966,19,7,0,0,7,2.65875302118219,66.1290909348433
57,2018-09-01,804,3518,21,4,0,1,14,7.68225885947799,59.8531902577255
58,2018-09-01,1079,5006,16,13,0,0,29,1.55567027627625,26.5055309357352
59,2018-09-01,4187,9962,12,7,7,1,9,3.11871234966747,127.112484597404
60,2018-09-01,3213,3306,12,4,0,7,8,1.05913150815532,118.377559846755
61,2018-09-01,912,3883,19,5,0,0,34,2.33234229631857,9.62539086547615
62,2018-09-01,4531,5058,10,6,2,3,13,1.07884420178619,66.8011707697545
63,2018-09-01,3344,3698,19,6,0,1,20,3.48243506910835,25.8603227566876
64,2018-09-01,2830,5015,16,4,2,2,17,1.65430366670174,43.6689936438963
65,2018-09-01,1075,4058,22,6,0,0,19,8.07755683248101,127.433366066626
66,2018-09-01,1705,3284,12,6,1,0,7,1.33806871489094,84.9815894386335
67,2018-09-01,4539,3475,15,8,0,0,11,5.74710649330158,100.738661150717
68,2018-09-01,1024,3832,12,4,1,4,9,1.82220455274029,146.991414897458
69,2018-09-01,3815,5448,14,6,2,2,10,6.47553539717489,28.3905967307755
70,2018-09-01,449,3142,20,7,0,0,11,1.92487995319842,23.5962090876584
71,2018-09-01,1512,4621,22,9,0,0,32,1.21301074969926,30.505804069063
72,2018-09-01,1517,3234,15,2,1,0,10,5.83539481477761,63.1706247040046
73,2018-09-01,2679,3243,14,4,0,0,21,6.93429524459027,37.2692308756219
74,2018-09-01,420,2981,11,7,0,0,19,0.805100682078528,104.253215411884
75,2018-09-01,2876,4386,14,9,1,0,12,2.86362576213169,36.2589803216963
76,2018-09-01,316,2476,14,5,0,0,10,2.7629802145809,66.4652076264626
77,2018-09-01,1009,3943,22,7,0,0,27,0.931242032769054,19.0094839175515
78,2018-09-01,319,3802,18,6,0,0,16,9.01579947647271,90.1930478108195
79,2018-09-01,3952,5124,23,8,0,0,46,0.741843965719993,21.2115442479806
80,2018-09-01,3670,4554,15,3,2,0,18,3.04186005791294,23.0123896436678
81,2018-09-01,4809,2929,14,6,0,1,14,1.28801518911591,45.9047801025725
82,2018-09-01,1471,3693,15,5,0,0,17,10.9266222769463,69.759019569608
83,2018-09-01,704,3907,11,6,1,1,10,4.57462557841818,98.9483625387712
84,2018-09-01,3080,3667,19,5,0,0,19,7.66652725131641,75.7869571967332
85,2018-09-01,3863,4107,14,9,1,1,5,1.56729489280228,84.1273716779279
86,2018-09-01,972,3475,20,6,0,0,21,2.25397765967727,33.1433011191942
87,2018-09-01,704,6572,12,6,4,1,9,1.21658184767077,106.319446291772
88,2018-09-01,1733,4893,13,2,2,5,15,0.926792526378237,88.8609297434321
89,2018-09-01,4168,3307,14,3,0,0,29,5.56517493686273,79.1419449025436
90,2018-09-01,2481,5538,17,7,2,0,17,4.38216686881662,25.2611971496023
91,2018-09-01,351,4717,15,9,0,2,19,8.16571577572666,68.8780578046843
92,2018-09-01,712,4104,10,12,0,1,15,2.54186054733689,80.6067972088299
93,2018-09-01,3257,4340,15,9,0,0,21,7.3993393384341,64.9600253237238
94,2018-09-01,1930,4678,20,11,0,0,28,0.782005051532587,31.2621733162643
95,2018-09-01,1712,6407,12,8,3,1,16,2.07051277333788,93.0128738052653
96,2018-09-01,345,2344,13,4,0,0,10,3.93983842322494,30.977401327877
97,2018-09-01,792,4018,15,5,1,0,16,4.68356279464779,33.115431076068
98,2018-09-01,351,5737,22,11,0,1,12,16.3669822185467,66.708519352888
99,2018-09-01,9,5090,17,13,0,0,17,7.90053946470902,44.9519475477545
100,2018-09-01,2973,5515,19,6,0,0,17,25.1547226243807,42.9757735947562
101,2018-09-01,4631,3692,18,8,0,0,20,1.92276309016649,36.9397356803361
102,2018-09-01,1930,4842,19,7,0,0,49,0.417966360381354,27.4142501242609
103,2018-09-01,4129,4824,16,6,2,0,13,1.735898983099,33.3600595651547
104,2018-09-01,4708,3820,16,5,0,0,38,1.20011189837794,20.9043817266574
