"PlayID","Date","CustomerID","Experience","Pokestops","Gyms","Raids","Social","Pokemons","Distance","Duration"
1,2018-05-01,3668,4170,11,12,0,3,10,1.20021199037237,125.459392089047
2,2018-05-01,3339,5419,21,14,0,1,11,8.18638722817217,50.7905264647339
3,2018-05-01,1336,2983,14,7,0,0,14,1.82500276219469,112.765898011651
4,2018-05-01,3652,2458,10,5,0,1,11,2.0824632972634,118.334086971051
5,2018-05-01,4819,3374,11,5,1,0,11,2.73591637865775,81.2449727155318
6,2018-05-01,1835,4691,15,9,1,0,15,3.90727904496095,39.8659350826227
7,2018-05-01,3840,4179,17,8,0,0,31,1.78545364124011,36.4522657345091
8,2018-05-01,1472,4541,17,12,0,1,15,3.40516906016217,64.9535317281078
9,2018-05-01,3397,4883,14,9,1,1,17,3.32821212335372,52.4078501685056
10,2018-05-01,1388,3923,13,5,0,6,19,1.23212405431787,77.9155035059492
11,2018-05-01,4190,3911,16,7,1,0,13,0.612952681241565,87.5563633301224
12,2018-05-01,2513,3677,17,8,0,0,14,5.27254943408064,31.0290074141382
13,2018-05-01,4218,6768,13,6,4,2,7,1.67819772756317,128.98075378082
14,2018-05-01,35,5090,20,10,0,1,36,0.896835026307514,19.3680848082598
15,2018-05-01,2996,2257,13,4,0,2,4,2.07378665476543,116.485544323628
16,2018-05-01,424,5057,18,15,0,0,20,1.56986192131394,17.3836548755099
17,2018-05-01,2711,9948,11,11,6,2,11,2.48005759488445,59.6584734378184
18,2018-05-01,2462,4720,19,6,1,0,18,6.70397985692957,76.3984274964686
19,2018-05-01,4415,4023,15,6,1,1,10,3.73104123597856,36.3666922006924
20,2018-05-01,2547,6521,15,10,2,0,25,5.21355534217695,36.2819389506344
21,2018-05-01,4728,2344,14,2,0,4,5,1.93785629457408,125.245657420763
22,2018-05-01,3597,3970,24,5,0,3,14,4.69719068860649,92.2602003977109
23,2018-05-01,568,4926,17,13,0,0,28,0.755181722459403,39.3430441854448
24,2018-05-01,1084,4189,17,5,1,1,14,4.39008622011547,29.9687015624913
25,2018-05-01,2463,4274,16,9,0,0,16,8.7430357521546,73.7220184729162
26,2018-05-01,1242,7151,18,20,0,1,25,8.01098980266587,85.8514102295658
27,2018-05-01,3868,6231,14,11,2,2,15,1.81140866826818,146.956651680791
28,2018-05-01,452,5143,19,9,0,0,33,7.43442355758998,75.2419507088203
29,2018-05-01,4592,4760,14,5,2,1,14,1.6037011058963,151.157340170248
30,2018-05-01,3473,4649,12,7,2,1,8,0.487322635615283,111.179021971892
31,2018-05-01,211,2773,13,6,0,1,13,0.726166992022956,95.70891522079
32,2018-05-01,2635,5606,19,12,1,2,11,3.05913694653992,32.964872242208
